=== SYSTEM RECON REPORT ===
Generated on: 2026-02-02 11:14:02.897926

Operating System: Windows 11
Hostname: Thinesh
IP Address: 10.130.8.32

=== Running Processes ===

Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    4260 Console                    3     41,340 K
chrome.exe                   20300 Console                    3     43,624 K
svchost.exe                  16784 Services                   0     11,020 K
Discord.exe                  14888 Console                    3    133,604 K
Discord.exe                  20892 Console                    3     34,800 K
Discord.exe                  16824 Console                    3    232,308 K
Discord.exe                   4720 Console                    3     58,180 K
Discord.exe                   8624 Console                    3    537,548 K
Discord.exe                  16460 Console                    3     86,260 K
svchost.exe                  21412 Services                   0     15,616 K
chrome.exe                   13284 Console                    3    247,900 K
SDXHelper.exe                16152 Console                    3     32,768 K
Nahimic3.exe                  7412 Console                    3     17,300 K
RuntimeBroker.exe             8492 Console                    3     25,436 K
chrome.exe                   13720 Console                    3    156,328 K
WmiPrvSE.exe                 20192 Services                   0     12,952 K
audiodg.exe                  17536 Services                   0     24,680 K
smartscreen.exe               2236 Console                    3     30,532 K
msiexec.exe                   1244 Services                   0     30,708 K
svchost.exe                   5844 Services                   0     15,516 K
Code.exe                     12044 Console                    3    148,344 K
Code.exe                     12976 Console                    3     36,296 K
Code.exe                      7884 Console                    3    161,540 K
Code.exe                     17512 Console                    3     53,168 K
Code.exe                     16084 Console                    3    268,016 K
Code.exe                      4528 Console                    3    131,680 K
Code.exe                      7256 Console                    3    121,412 K
Code.exe                     12124 Console                    3    498,544 K
Code.exe                      8108 Console                    3    154,804 K
conhost.exe                  14584 Console                    3     11,324 K
powershell.exe               19664 Console                    3     89,888 K
conhost.exe                  17044 Console                    3     11,360 K
powershell.exe               18904 Console                    3     92,640 K
pet.exe                       7036 Console                    3      8,764 K
conhost.exe                   2580 Console                    3      7,820 K
conhost.exe                   9592 Console                    3     11,308 K
powershell.exe               15020 Console                    3     90,388 K
Code.exe                     10468 Console                    3    105,784 K
Code.exe                     18604 Console                    3    488,104 K
chrome.exe                    2732 Console                    3     62,452 K
chrome.exe                   18440 Console                    3     72,996 K
chrome.exe                   10884 Console                    3     32,180 K
svchost.exe                   7224 Services                   0     12,316 K
SearchProtocolHost.exe        5828 Services                   0     18,012 K
conhost.exe                  18936 Console                    3     11,428 K
powershell.exe               11056 Console                    3     92,376 K
python.exe                    2004 Console                    3     21,344 K
cmd.exe                       1668 Console                    3      5,344 K
tasklist.exe                 11896 Console                    3     12,308 K

=== Open Ports ===

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1568
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1462           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       6848
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1316
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1140
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2040
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3132
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       4844
  TCP    0.0.0.0:49672          0.0.0.0:0              LISTENING       1264
  TCP    10.130.8.32:139        0.0.0.0:0              LISTENING       4
  TCP    10.130.8.32:1503       65.8.85.12:443         ESTABLISHED     15032
  TCP    10.130.8.32:1520       165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:4747       165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:5666       165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:5689       165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:6829       165.21.100.88:53       TIME_WAIT       0
